,page,raw_data
0,Plan2Achieve,"
74
74
68次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
其他帖子
"
1,Plan2Achieve,"
2020年9月21日
  ·
8
8
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
2,Plan2Achieve,"
2020年9月20日
  ·
27
27
6次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
3,Plan2Achieve,"
2020年9月15日
  ·
2
2
1 個回應
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
作者
"
4,Plan2Achieve,"
反面教材
讚好
 · 回覆 · 46星期
"
5,Plan2Achieve,"
2020年8月6日
  ·
45
45
70次分享
讚好
回應
分享
1 個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
"
6,Plan2Achieve,"
2020年7月22日
  ·
9
9
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
7,Plan2Achieve,"
2020年6月5日
  ·
57
57
21次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
8,Plan2Achieve,"
2020年5月19日
  ·
eye4gift.com
2020年5月10日
  ·
【你的夢想夠大嗎？】
如果你的夢想沒有把你自己嚇到，
那它們太小了。
If your dreams don't scare you,
they are too small.⋯⋯ 查看更多
3
3
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
9,Plan2Achieve,"
2020年5月3日
  ·
【Elon Musk 談第一原理和冒險】
Tesla 從來不花錢賣廣告，為什麼？
Elon Musk 演繹第一原理和冒險精神，教我們如何讓這紛亂和複雜的世界，變得簡單。
6
6
6次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。"
10,Plan2Achieve,"
2020年5月3日
  ·
【Elon Musk 談第一原理和冒險】
Tesla 從來不花錢賣廣告，為什麼？
Elon Musk 演繹第一原理和冒險精神，教我們如何讓這紛亂和複雜的世界，變得簡單。
6
6
6次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
11,Plan2Achieve,"
2020年4月9日
  ·
這是2006年的Rocky Balboa 電影 ""洛奇：拳王再臨"" 裏經典的一幕:
Rocky對他兒子說: 「讓我告訴你一件你早就知道的事情。 這世界不是一直都是陽光和彩虹， 它是個非常無情、邪惡的地方， 如果你為人軟弱的話， 它會將你擊倒並且讓你永遠無法再次振作。
沒有拳擊手的攻擊可以像人生考驗一樣地嚴峻， 但是人生不在於你出拳出的多有力， 而是在於你能承受多重的考驗以及能接受多少的挑戰，一樣能不斷向前邁進， 這才是成功之道。
如果你瞭解了自己的人生價值，就去爭取， 但是你必須要願意接受考驗， 而不是用手指頭責怪他人，說你辦不到都是因為他、她或任何人。 只有懦夫才會這樣做， 而你不是， 你遠比懦夫好得多了。」
34
34
2個回應
20次分享
讚好
回應
分享
2個回應
最相關
⁠
回應……
請按 Enter 鍵發佈。
Adrian Lee
這應該是2006年的Rocky Balboa ""洛奇:拳王再臨"" ...不是1976年的Rocky ""洛奇""
讚好
 · 回覆 · 1年
作者
"
12,Plan2Achieve,"
Adrian Lee 感謝提醒
讚好
 · 回覆 · 1年
"
13,Plan2Achieve,"
2020年4月6日
  ·
focused on your goal
photo:網絡
30
30
1 次分享
讚好
回應
分享
0個回應
⁠
回應……
請按 Enter 鍵發佈。
"
